0: train_loss=0.41082377547628424, val_loss=0.3099275248555037, train_acc=0.9194384813308716, val_acc=0.9299837350845337
1: train_loss=0.24591416806987162, val_loss=0.2162386994713392, train_acc=0.949691653251648, val_acc=0.9473062753677368
2: train_loss=0.1876129868947101, val_loss=0.2626181764002794, train_acc=0.9561282396316528, val_acc=0.9130982756614685
3: train_loss=0.15800572555051762, val_loss=0.153003119600889, train_acc=0.9574406147003174, val_acc=0.9571644067764282
4: train_loss=0.14343125237986135, val_loss=0.1735800540026946, train_acc=0.9596128463745117, val_acc=0.9410578012466431
5: train_loss=0.13352998642678438, val_loss=0.16322291117065993, train_acc=0.960177481174469, val_acc=0.9499025344848633
6: train_loss=0.134979334159083, val_loss=0.14922545597148248, train_acc=0.9608421921730042, val_acc=0.9542356133460999
7: train_loss=0.1337732659655819, val_loss=0.1525618905822436, train_acc=0.9608442783355713, val_acc=0.9544399976730347
8: train_loss=0.12507916272978148, val_loss=0.12413463211403443, train_acc=0.9626064896583557, val_acc=0.9606350660324097
9: train_loss=0.12145538653215665, val_loss=0.2858668220921969, train_acc=0.9625974893569946, val_acc=0.9134398102760315
10: train_loss=0.11924757181784888, val_loss=0.13771835356377637, train_acc=0.9631441831588745, val_acc=0.9527981877326965
11: train_loss=0.11787208223515108, val_loss=0.12290406131591552, train_acc=0.9637736082077026, val_acc=0.9582556486129761
12: train_loss=0.11744702065043618, val_loss=0.14172437844368127, train_acc=0.9638742804527283, val_acc=0.9558247327804565
13: train_loss=0.11920785300589105, val_loss=0.12975037002410644, train_acc=0.963771402835846, val_acc=0.958882749080658
14: train_loss=0.11598373128528772, val_loss=0.12506128527606145, train_acc=0.9640172719955444, val_acc=0.9592874050140381
15: train_loss=0.11809452159709953, val_loss=0.1369311680109837, train_acc=0.9644588232040405, val_acc=0.9548375010490417
16: train_loss=0.1140990558455595, val_loss=0.11790109409067111, train_acc=0.9644260406494141, val_acc=0.9592770338058472
17: train_loss=0.12371310262221777, val_loss=0.1292735517789156, train_acc=0.9633997082710266, val_acc=0.9587505459785461
18: train_loss=0.11464873744387113, val_loss=0.12159834422457677, train_acc=0.9646816253662109, val_acc=0.9612942337989807
19: train_loss=0.11938869321111882, val_loss=0.13617123159556052, train_acc=0.9640287756919861, val_acc=0.9574359655380249
20: train_loss=0.11450701470024896, val_loss=0.13021389636187217, train_acc=0.9654619693756104, val_acc=0.9601616859436035
21: train_loss=0.10858551997625618, val_loss=0.12406517047052965, train_acc=0.9654823541641235, val_acc=0.956784725189209
22: train_loss=0.1149142851505913, val_loss=0.12227915088908795, train_acc=0.964965283870697, val_acc=0.9614200592041016
23: train_loss=0.11166757547310038, val_loss=0.11483177595222607, train_acc=0.9654480218887329, val_acc=0.962136447429657
24: train_loss=0.11118385818208393, val_loss=0.11572821089663567, train_acc=0.9657449126243591, val_acc=0.9629719853401184
25: train_loss=0.10726472855594912, val_loss=0.12901958355154747, train_acc=0.9661697745323181, val_acc=0.9582136273384094
